ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0044771,meiotic cell cycle phase transition,5/1039,19/21338,0.2631578947368421,5.40448812116914,4.345361971640246,0.001778909597544714,0.02148867917445401,0.017935914383578964,TTK/PKMYT1/KNL1/CDC25C/CDC25A,5
GO:0061101,neuroendocrine cell differentiation,5/1039,19/21338,0.2631578947368421,5.40448812116914,4.345361971640246,0.001778909597544714,0.02148867917445401,0.017935914383578964,NKX2-2/BMP2/ASCL1/OTP/INSM1,5
GO:0099500,vesicle fusion to plasma membrane,7/1039,37/21338,0.1891891891891892,3.8853887573810577,3.974132399959872,0.0018151312271653037,0.021647973696573,0.018068872434993114,SYT13/STX1B/RAB3A/SYT4/CPLX2/CPLX1/ERC2,7
GO:0044331,cell-cell adhesion mediated by cadherin,11/1039,81/21338,0.13580246913580246,2.788982758825556,3.64951210826152,0.0018451959329615609,0.021895393154005995,0.01827538555612647,CELSR3/CDH10/NEXMIF/CDH7/CDH9/MMP24/CDH13/CDH18/CDH22/CDH8/CDH12,11
GO:0051783,regulation of nuclear division,17/1039,159/21338,0.1069182389937107,2.195785739795764,3.4240203532552687,0.001961294475169465,0.02309805197699578,0.01927920647535003,SIRT2/SMPD3/HOXA13/TTK/NEK2/CENPF/PKMYT1/USP44/KNL1/CDC25C/NPM2/MAD2L1/IGF2/HASPIN/AURKB/PLCB1/PDXP,17
GO:0061138,morphogenesis of a branching epithelium,22/1039,230/21338,0.09565217391304348,1.9644139431727832,3.3269094948258244,0.002013089348087968,0.02326483301498346,0.019418413282518875,HOXA11/SOX8/NTN4/GRHL2/SOX10/SIX4/EYA1/SFRP1/HOXA13/BMP2/SIX1/MYCN/NKX2-1/GREB1L/TBX20/GBX2/GDNF/SEMA3E/CSMD1/NOG/PTCH1/LHX1,22
GO:0099624,atrial cardiac muscle cell membrane repolarization,4/1039,12/21338,0.3333333333333333,6.8456849534809106,4.582563134872881,0.002020015294767664,0.02326483301498346,0.019418413282518875,KCNA5/KCNJ3/NPPA/SCN5A,4
GO:0010463,mesenchymal cell proliferation,8/1039,48/21338,0.16666666666666666,3.4228424767404553,3.8018510467841096,0.0020470750379553903,0.02340439319550457,0.01953489970910945,FGF9/BMP2/SIX1/FOXP2/MYCN/OSR1/NFIB/HAND2,8
GO:0071695,anatomical structure maturation,27/1039,306/21338,0.08823529411764706,1.8120930759214178,3.237154033371908,0.0021877219529574292,0.024652531071815253,0.020576680542015353,CFTR/SOX8/SIRT2/NTN4/ACTL6B/SOX10/REC8/FERMT1/XYLT1/KIF14/B4GALT6/BCL11A/KCNIP2/BMP2/C1QL1/ADGRB3/ASCL1/SRRM4/KCNB1/FEV/RAC3/CNTNAP2/DDIT3/CDK5R1/LRRK2/HES5/ACTN3,27
GO:0008277,regulation of G protein-coupled receptor signaling pathway,18/1039,177/21338,0.1016949152542373,2.088514053604346,3.289953128754845,0.0025631664214811555,0.028339574151858705,0.023654137675390183,GIPR/FRMPD1/CHGA/PDE10A/PDC/STMN1/RGS8/DRD2/TUB/GNG4/GRM5/GPR27/NRXN1/PLCB1/RGS7/KCTD16/PDE2A/LRRK2,18
