category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,12/509,49/9411,0.24489795918367346,4.527965999759432,5.920358702767958,8.08459041353701e-6,2.1975386669523332e-4,1.910903188654203e-4,SLC18A1/PDYN/GRIA2/DDC/DRD2/GPSM1/GRM2/ADCY5/CDK5R1/TH/GRIN3A/GRIN2B,12
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,27/509,201/9411,0.13432835820895522,2.4836231416590917,5.083955264457357,1.034950828141901e-5,2.578752480120237e-4,2.2423934609741193e-4,HOXA11/ETV1/PROM1/HOXA9/SIX4/EYA1/TLX1/SIX1/BCL11B/GADD45G/MYCN/MDM2/FEV/DDIT3/H3C13/PAX5/H3C12/H3C14/H3C15/H3C8/H3C6/H3C11/H3C1/H3C7/H3C10/H3C2/H3C3,27
Environmental Information Processing,Signaling molecules and interaction,hsa04519,Cadherin signaling,43/509,404/9411,0.10643564356435643,1.9679093154895058,4.754941506388951,1.4038067884410636e-5,3.228755613414446e-4,2.807613576882128e-4,USH1C/CELSR3/GABRA3/CDH10/LRP6/CDH7/PCDHA6/PCDH11X/PCDH11Y/MAPK8/WASF1/CDH9/PCDHB15/GABRG2/AMOTL2/PDGFRA/CDH13/CDH18/TMC2/CDH22/PCDH15/CDH8/CDH12/LHFPL4/GABRB3/SCN3B/RAC3/PCDH7/CTNNA3/SCN5A/KRT5/LHFPL3/PCDHA9/PCDHA8/PCDHA5/PCDHA4/PCDHA2/PCDHGC4/PCDHAC1/PCDHA12/PCDHGB4/PCDHA3/GABRQ,43
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,22/509,149/9411,0.1476510067114094,2.7299481810630137,5.0896011305785684,1.5360195853203567e-5,3.280498971505619e-4,2.8526078013092337e-4,GABRA3/RIMS1/SLC17A6/PLCB4/SLC32A1/MAPK8/GABRG2/FAAH/GRIA2/GNG13/CACNA1B/GRIA4/KCNJ9/KCNJ3/GABRB3/GNG4/GRM5/ADCY5/SLC17A8/PLCB1/GNG2/GABRQ,22
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,34/509,299/9411,0.11371237458193979,2.1024502105906393,4.632310171398771,2.9720703919844075e-5,5.924326981355585e-4,5.15158867943964e-4,CNTN1/KCNQ2/PAK3/MAP2/RIMS1/PAK5/TUBB4A/PTPRS/MAPK8/NECTIN1/UNC5A/AKT3/GRIP2/NCAM1/ANK3/MAGI1/PTPRD/MPZ/SLITRK5/LRFN5/CASKIN1/IL1RAPL1/MTSS1/SPTBN2/CNTNAP2/CADM2/LRRTM4/SLITRK1/SLITRK4/SLITRK2/SLIT1/DCC/MBP/L1CAM,34
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,18/509,115/9411,0.1565217391304348,2.8939608781071153,4.886318530820508,4.121703847733884e-5,7.316429508419737e-4,6.362112616017162e-4,CHAT/KCNQ2/CHRNA3/CHRNA4/PLCB4/AKT3/GNG13/CACNA1B/CAMK4/CHRNB2/KCNJ3/GNG4/CHRM1/ADCY5/CHRM2/PLCB1/GNG2/SLC18A3,18
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,26/509,205/9411,0.12682926829268293,2.344971009631511,4.655477977001844,4.159842864318914e-5,7.316429508419737e-4,6.362112616017162e-4,CCND1/H2BC11/CDK4/MDM2/H2BC5/H4C8/H2BC4/H2BC13/H2BC26/H4C3/H4C11/H2BC12/H2BC18/H2BC15/H4C15/H4C14/H4C12/H2BC8/H2BC17/H2BC9/H2BC3/H4C5/H4C4/H2BC7/H4C1/H4C2,26
Human Diseases,Substance dependence,hsa05032,Morphine addiction,15/509,91/9411,0.16483516483516483,3.0476694229150025,4.693345145013893,9.775815224114945e-5,0.0016238715288946493,0.0014120621990388255,GABRA3/SLC32A1/OPRM1/PDE10A/GABRG2/GNG13/CACNA1B/KCNJ9/KCNJ3/GABRB3/GNG4/ADCY5/GNG2/PDE2A/GABRQ,15
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,17/509,115/9411,0.14782608695652175,2.7331852737678313,4.471526005870328,1.3899940408051436e-4,0.0021874116747407257,0.0019020971084701965,SLC18A1/PLCB4/GNG13/DDC/CACNA1B/HTR5A/HTR6/ALOX15/KCNJ9/KCNJ3/GABRB3/GNG4/ADCY5/HTR1A/PLCB1/KCND2/GNG2,17
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,15/509,103/9411,0.14563106796116504,2.6926011406336428,4.130046697578827,4.0014623073968055e-4,0.005982186149558224,0.005201900999615847,COL11A1/CPB2/COL19A1/COL9A3/SLC8A3/COL20A1/ATP1A3/SLC1A1/COL9A1/SLC8A2/FXYD2/COL2A1/COL26A1/COL11A2/CELA2B,15
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,27/509,254/9411,0.1062992125984252,1.9653868168247142,3.729507827517311,5.780299639999802e-4,0.00823004567790448,0.0071565614590473735,PTGER3/ERBB3/P2RX7/CACNA1I/SLC8A3/NTSR1/PLCB4/FGF9/P2RX3/SLC8A2/PDGFRA/GNAL/CACNA1B/CAMK4/HTR5A/HTR6/FGF17/CHRM1/GDNF/GRM5/TRHR/ERBB4/CHRM2/PLCB1/CACNA1E/GRIN3A/GRIN2B,27
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,13/509,86/9411,0.1511627906976744,2.794878238223603,3.998247785128771,6.693469298308691e-4,0.008826603325798661,0.007675307239824924,ABCC8/RAPGEF4/PLCB4/ATP1A3/RAB3A/GLP1R/FXYD2/ADCY5/RIMS2/PLCB1/PCLO/KCNJ11/KCNMB2,13
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,14/509,97/9411,0.14432989690721648,2.668543535940696,3.9497099229508508,6.789694865998971e-4,0.008826603325798661,0.007675307239824924,CACNA1I/RPS6KA5/PLCB4/GRIA2/GNG13/PRKG2/GRIA4/KCNJ9/KCNJ3/GNG4/ADCY5/PLCB1/GNG2/GRIN2B,14
Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,24/509,219/9411,0.1095890410958904,2.0262130957827598,3.674214527469556,7.481323270772627e-4,0.009320481908170898,0.008104766876670347,GIPR/RAPGEF4/PDYN/PLCB4/VIPR2/OPRM1/GLP1R/NPR3/OPRD1/PRLHR/GNG13/PRKG2/SSTR1/DRD2/SST/TSHR/IGF2/GNG4/ADCY5/TRHR/NPPA/SSTR2/PLCB1/GNG2,24
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,13/509,89/9411,0.14606741573033707,2.7006688594070773,3.854518384667385,9.325353227712926e-4,0.010755680419344583,0.009352765582038769,GABRA3/SLC32A1/SLC38A1/GABRG2/GNG13/GAD1/GAD2/CACNA1B/GABRB3/GNG4/ADCY5/GNG2/GABRQ,13
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,21/509,184/9411,0.11413043478260869,2.110179806953105,3.6364856890603723,9.352765582038769e-4,0.010755680419344583,0.009352765582038769,PRKCZ/NTN4/PAK3/SEMA5B/EFNA2/PAK5/UNC5A/LRRC4/EPHB2/TRPC3/SEMA6C/SEMA3D/EPHB1/RAC3/SEMA3E/EPHB3/PTCH1/SLIT1/DCC/NTNG2/L1CAM,21
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,19/509,160/9411,0.11875,2.1955918467583495,3.6471909663461966,0.0010025257013455574,0.011102043877863765,0.009653951198142406,CNTN1/NRXN3/PTPRS/NECTIN1/LRRC4/VTCN1/NCAM1/PTPRD/MPZ/SLITRK5/ALCAM/NEGR1/CNTNAP2/SLITRK1/SLITRK4/NRXN1/SLITRK2/NTNG2/L1CAM,19
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,18/509,158/9411,0.11392405063291139,2.106363930267837,3.3534758161819207,0.002158828721206493,0.023053206701455053,0.02004626669691744,E2F2/ORC6/CCND1/TTK/PKMYT1/SGO1/GADD45G/CDK4/MDM2/KNL1/TICRR/CCNB3/CDC25C/CDC25A/MAD2L1/ESCO2/AURKB/CDC14C,18
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,9/509,59/9411,0.15254237288135594,2.8203856015450706,3.3538764220719273,0.004126695297117138,0.0388489488278637,0.03378169463292496,PTGER3/LIPE/AKT3/NPY/PRKG2/TSHR/ADCY5/NPPA/AQP7B,9
Genetic Information Processing,Chromosome,hsa03082,ATP-dependent chromatin remodeling,14/509,117/9411,0.11965811965811966,2.2123822477457056,3.1553030214214806,0.00415774703174461,0.0388489488278637,0.03378169463292496,DPF1/ACTL6B/MACROH2A2/BCL7A/H2AC25/H2AC20/H2AC21/H2AC13/H2AC11/H2AC12/H2AC14/H2AC16/H2AC8/H2AC4,14
