category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,46/850,224/9416,0.20535714285714285,2.274873949579832,6.082986299111974,7.326018182344566e-8,7.680502933103175e-7,5.696632134997983e-7,CD4/SPI1/TNFRSF1A/ICAM1/NRP1/IL2RB/NFATC4/CD40/NFATC2/RELB/TGFB1/JAK3/LTBR/IL1R2/IL1R1/TGFB3/EGR1/EGR2/CDKN1A/STAT5A/ZFP36/IL2RA/IL15RA/IL6/MMP7/IL2RG/CREB3L1/ITGB2/CD3G/TGFBR2/IL15/CD3D/FOSL1/HLA-DQB1/LCK/HLA-DRB1/HLA-DQA1/CD3E/HLA-DOA/HLA-DMA/HLA-DRA/HLA-C/HLA-E/HLA-DPB1/HLA-DQB2/HLA-DMB,46
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,17/850,44/9416,0.38636363636363635,4.28,6.869333982400566,9.888252300327699e-8,1.0042756242520318e-6,7.448716370970537e-7,FAS/GZMB/CD86/IL1A/IL1B/HLA-DQB1/PRF1/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-C/HLA-E/HLA-DPB1/HLA-DQB2/HLA-DMB,17
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,38/850,173/9416,0.21965317919075145,2.4332403944236654,5.993302589234278,1.6620189444292288e-7,1.636836839210604e-6,1.2140425463294847e-6,FAS/CASP8/TNFRSF1A/OAS1/ICAM1/PYCARD/TNFRSF10A/CCL2/OAS2/IL1A/TNFSF10/IL1B/TICAM1/RSAD2/IL6/CASP1/PML/IL18/MX1/NLRP3/CXCL10/CXCL8/TPSAB1/HLA-DQB1/MX2/SOCS3/HLA-DRB1/TLR7/HLA-DQA1/TPSB2/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DQB2/HLA-DMB/IKBKE/CCL5,38
Human Diseases,Immune disease,hsa05310,Asthma,14/850,32/9416,0.4375,4.846470588235294,6.865528836332198,2.1543962891509173e-7,2.059349394041318e-6,1.5274202793051398e-6,CD40/IL10/FCER1G/RNASE3/HLA-DQB1/FCER1A/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DQB2/HLA-DMB,14
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,27/850,103/9416,0.2621359223300971,2.9038492290119935,6.119796111437113,2.55649274325494e-7,2.3738861187367303e-6,1.7607122953545303e-6,NOS2/FAS/GNA15/CASP8/TNFRSF1A/TGFB1/SERPINE1/CCL2/TGFB3/IL1B/C3/TICAM1/IL6/IL10/TLR2/PLCB2/MAPK13/C1QC/CD3G/TGFBR2/CD3D/BDKRB2/CXCL8/C1QB/C1QA/CD3E/CCL5,27
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,25/850,93/9416,0.26881720430107525,2.97786211258697,6.037960026109741,4.217560576981699e-7,3.807519965330701e-6,2.8240390997918403e-6,CD4/IL4R/IL2RB/NFATC2/JAK3/GATA3/STAT5A/IL2RA/STAT4/IL2RG/MAPK13/CD3G/STAT6/CD3D/HLA-DQB1/LCK/HLA-DRB1/HLA-DQA1/CD3E/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DQB2/HLA-DMB,25
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,18/850,54/9416,0.3333333333333333,3.692549019607843,6.250385016040589,5.619930330402957e-7,4.936425290218814e-6,3.6613486363080433e-6,FAS/GZMB/CD40/CD86/IL10/CTLA4/HLA-DQB1/PRF1/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-C/HLA-E/HLA-DPB1/HLA-DQB2/HLA-DMB,18
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,41/850,203/9416,0.2019704433497537,2.2373572877426833,5.614010155741735,6.006909802366196e-7,5.137488646760563e-6,3.8104774092572277e-6,ITGA3/BIRC3/IBSP/TNC/LAMA3/ACTN1/ITGB5/LAMB1/MYL9/MYL12A/COMP/CAV1/COL1A1/THBS4/FN1/SPP1/RAC2/ITGB4/EMP1/ITGA7/THBS1/ITGA11/EGF/PARVG/ERBB2/VAV1/COL6A1/COL6A2/EGFR/VEGFC/SHC1/ITGA5/COL6A3/ITGA2/COL1A2/PDGFD/LAMB2/COL6A5/LAMA2/LAMB3/COL4A6,41
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,36/850,168/9416,0.21428571428571427,2.3737815126050417,5.659512037429216,6.649869055340677e-7,5.5415575461172314e-6,4.110175475500716e-6,IL20RA/IL4R/IL11/OSM/CSF2RB/IL2RB/IL21R/JAK3/CSF3/IL10RA/PTPN6/PRLR/CSF3R/CDKN1A/STAT5A/LIF/IL13RA1/IL2RA/IL15RA/IL6/IL10/STAT4/EGF/IL22RA1/OSMR/TSLP/EGFR/IL2RG/CTF1/IL15/IL31RA/STAT6/IL7R/CLCF1/SOCS3/SOCS1,36
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,61/850,362/9416,0.1685082872928177,1.8666753331166723,5.2968913681828536,1.0247893446121304e-6,8.32641342497356e-6,6.175704208320471e-6,ITGA3/IBSP/TNC/LAMA3/FGF10/IL4R/ITGB5/LAMB1/OSM/IL2RB/JAK3/COMP/CSF3/COL1A1/AREG/THBS4/PRLR/FGF1/FN1/SPP1/CSF3R/PCK1/CDKN1A/EREG/GNG11/ITGB4/NGF/IL2RA/ITGA7/IL6/TLR2/THBS1/ITGA11/FGF5/EGF/PIK3R5/ERBB2/COL6A1/COL6A2/EPHA2/OSMR/EGFR/IL2RG/VEGFC/ANGPT1/CREB3L1/ITGA5/COL6A3/ITGA2/COL1A2/IL7R/PDGFD/LAMB2/COL6A5/CSF1R/CSF1/LAMA2/LAMB3/COL4A6/NTRK1/EFNA4,61
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,42/850,216/9416,0.19444444444444445,2.153986928104575,5.404611005276593,1.2658304505560087e-6,1.0034021864163484e-5,7.4422380790070865e-6,SELE/FAS/CYBA/CASP8/TNFRSF1A/CXCL2/APOB/ICAM1/NCF4/CD40/NFATC2/PYCARD/TNFRSF10A/CCL2/NCF2/TNFSF10/IL1B/TICAM1/LBP/IL6/TLR2/POU2F3/CASP1/PLCB2/VAV1/MMP3/IL18/LY96/MAPK13/NCF1/VCAM1/NLRP3/CXCL3/CXCL1/CYBB/CXCL8/CALML6/CD14/MMP1/LYN/IKBKE/CCL5,42
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,20/850,70/9416,0.2857142857142857,3.165042016806723,5.727077376588434,2.1363490867369586e-6,1.653127269498837e-5,1.226125165069583e-5,CASP8/ICAM1/CD40/CAV1/CD86/RAC2/ITGB2/HLA-DQB1/PRF1/HLA-DRB1/LAMA2/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-C/HLA-E/HLA-DPB1/HLA-DQB2/HLA-DMB,20
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,33/850,157/9416,0.21019108280254778,2.328422630198576,5.287308359802487,3.0323005999070096e-6,2.2918551045808792e-5,1.699869858944199e-5,STAB1/ALOX5/PTGS2/ITGB5/SIRPG/NFATC4/NFATC2/SIRPB1/TGFB1/PTPN6/RAB17/PTGER2/HAVCR2/IL10/CASP1/THBS1/CH25H/DUSP5/SIGLEC10/TIMD4/MAPK13/C1QC/ADAM9/PTGER4/P2RY6/CEBPB/C1QB/C1QA/P2RY2/GAS6/GPR132/PROS1/ANO9,33
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,43/850,233/9416,0.18454935622317598,2.0443726331734413,5.084775012945958,3.977761721676578e-6,2.9381194535111092e-5,2.179204388191236e-5,ITGA3/DCN/VIM/FBLN1/ITGB5/MYL9/COMP/COL1A1/THBS4/FN1/FHL2/SDC1/NID1/SDC4/ATP1B2/COL5A1/PDLIM4/ITGB4/MYBPH/ITGA7/THBS1/ITGA11/COL6A1/COL6A2/MYOM3/TRIM63/CSRP1/ITGA5/COL6A3/ITGA2/COL1A2/FBN1/COL3A1/SDC2/COL6A5/CSRP2/BGN/FMNL1/MYBPC1/LAMA2/COL4A6/TPM2/COL5A2,43
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,39/850,204/9416,0.19117647058823528,2.1177854671280274,5.084253168032839,4.653831723637001e-6,3.36110068929339e-5,2.4929297420184172e-5,WNT16/PLAUR/DCN/FAS/CD44/ITGB5/ITPR3/TGFB1/CAV1/WNT2/COL1A1/PTPN6/HBEGF/FN1/SDC1/PLAU/SDC4/CDKN1A/RRAS/CTSL/CD63/TLR2/THBS1/LUM/IQGAP1/ERBB2/VAV1/EGFR/FZD7/MAPK13/FZD1/ITGA5/ITGA2/SHH/COL1A2/SDC2/HCLS1/PLCG2/TWIST2,39
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,17/850,56/9416,0.30357142857142855,3.3628571428571425,5.5862985788367885,4.9861516498515155e-6,3.5228245352211796e-5,2.6128803840183003e-5,CASP8/CXCL2/PYCARD/IL1B/C3/IL6/TLR2/CASP1/IL18/ITGB2/CXCL3/CXCL1/CXCL8/ITGAM/CD14/TLR5/CR1,17
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,35/850,180/9416,0.19444444444444445,2.153986928104575,4.9240875920517855,9.677446303942725e-6,6.69185116761997e-5,4.963348720275217e-5,CD74/BIRC3/FAS/CASP8/SP100/TNFRSF1A/OAS1/CCL2/OAS2/IL1B/C3/TNFSF14/TICAM1/BST2/IL6/TLR2/POU2F3/PML/TNFRSF14/ITGA5/HLA-DQB1/SOCS3/STING1/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-C/HLA-E/HLA-DPB1/HLA-DQB2/HLA-DMB/IKBKE/CCL5,35
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,26/850,116/9416,0.22413793103448276,2.482920892494929,5.062162639121083,1.0059644668704255e-5,6.811217744435172e-5,5.051882958625602e-5,CD99/CYBA/ACTN1/TXK/ICAM1/NCF4/MYL9/MYL12A/CXCL12/NCF2/PTK2B/CXCR4/RAC2/VAV1/MAPK13/NCF1/F11R/ITGB2/VCAM1/CYBB/RHOH/ITGAM/CLDN4/PLCG2/CLDN23/RASSF5,26
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease,42/850,239/9416,0.17573221757322174,1.9466994831405364,4.669725095788126,1.8020779673748344e-5,1.1952557946873902e-4,8.86521706828866e-5,C6/TNFRSF1A/OAS1/NRP1/TLR8/CSF3/CCL2/OAS2/C7/HBEGF/F13A1/IL1B/C3/IL6/TLR2/CASP1/FCGR2A/AGTR1/EGFR/MMP3/MAPK13/MX1/C1QC/C1R/NLRP3/CYBB/C2/CXCL10/CXCL8/C3AR1/C1QB/C1QA/C1S/MX2/STING1/MMP1/TLR7/C5AR1/CFD/PLCG2/CFB/IKBKE,42
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,36/850,196/9416,0.1836734693877551,2.034669867947179,4.6109983491917905,2.6828936156456796e-5,1.7438808501696917e-4,1.2934371325954962e-4,FAS/CASP8/TNFRSF1A/PTGS2/CXCL2/ICAM1/ITPR3/NFATC4/NFATC2/HCK/CLEC2B/CD86/CDKN1A/C3/TICAM1/GNG11/ZFP36/IL6/PIK3R5/MAPK13/RCAN1/CCR5/CD200R1/CXCL3/CXCL1/CCR1/CXCL8/CALML6/CCR4/MAP1LC3C/PLCG2/MICA/HLA-C/HLA-E/LYN/IKBKE,36
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,28/850,142/9416,0.19718309859154928,2.1843247721623857,4.479319386306936,5.702289458268582e-5,3.633811909680959e-4,2.6951997645892784e-4,SELE/MGST1/CYBA/TNFRSF1A/MGST2/ICAM1/HMOX1/CAV1/CCL2/IL1A/IL1R2/IL1R1/SDC1/NCF2/DUSP1/SDC4/IL1B/RAC2/ASS1/GSTM5/CTSL/MAPK13/NCF1/SQSTM1/VCAM1/SDC2/CALML6/THBD,28
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,12/850,37/9416,0.32432432432432434,3.59275039745628,4.977530084571443,5.987725397170431e-5,3.7423283732315195e-4,2.77568646953852e-4,SELE/FAS/ICAM1/APOL1/IL1B/IDO1/IL6/IL10/PLCB2/IL18/VCAM1/F2RL1,12
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,36/850,205/9416,0.17560975609756097,1.9453428981348637,4.310657277807443,7.174220922922174e-5,4.399286414999446e-4,3.262952515092707e-4,VIM/FAS/CD44/CASP8/OAS1/ICAM1/GADD45B/CD40/RELB/JAK3/OAS2/GADD45A/CD58/TNFAIP3/CDKN1A/IL6/TLR2/MAPK13/CD3G/CD3D/CXCL10/HLA-DQB1/HLA-DRB1/HLA-DQA1/PLCG2/CD3E/HLA-DOA/HLA-DMA/HLA-DRA/HLA-C/HLA-E/HLA-DPB1/HLA-DQB2/HLA-DMB/LYN/IKBKE,36
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,26/850,133/9416,0.19548872180451127,2.1655550641309156,4.264273297884974,1.2055307891948708e-4,7.255509379413574e-4,5.38141424416424e-4,TYROBP/FAS/LCP2/ICAM1/GZMB/NFATC2/TNFRSF10A/PTPN6/CD48/PTK2B/TNFSF10/CD244/HCST/RAC2/VAV1/FCER1G/ITGB2/SHC1/PRF1/LCK/SH2D1A/PLCG2/FCGR3A/MICA/HLA-C/HLA-E,26
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,20/850,91/9416,0.21978021978021978,2.4346477052359403,4.331837273890251,1.3891527984130685e-4,8.20863017244086e-4,6.08834432223144e-4,CD79B/FCGR2B/NFATC2/LILRB1/LILRB5/PTPN6/RAC2/LILRB2/CD72/VAV1/BANK1/IFITM1/LILRA5/PLCG2/LILRB3/LOC102725035/LOC107987425/LOC107987462/LILRA6/LYN,20
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,34/850,201/9416,0.1691542288557214,1.8738308457711443,3.9446485891913583,2.3786898119816937e-4,0.0013804896230250902,0.0010239097123003907,WNT16/ETV7/BIRC3/SPI1/GADD45B/IL2RB/GZMB/CD40/CD86/IL1R2/GADD45A/PLAU/CDKN1A/RUNX2/LMO2/IL6/BCL2A1/PML/NFKBIZ/IGFBP3/HMGA2/MMP3/FCGR1A/RUNX1/TGFBR2/SPINT1/CXCL8/ITGAM/CD14/CEBPB/NUPR1/CSF1R/ELANE/NTRK1,34
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,18/850,82/9416,0.21951219512195122,2.4316786226685796,4.101560841926882,3.0029551477995636e-4,0.0017122112684822073,0.001269947791036196,CD4/CD74/CTSL/CTSS/CTSB/CD8B/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-C/HLA-E/IFI30/HLA-DPB1/HLA-DQB2/HLA-DMB,18
Human Diseases,Immune disease,hsa05340,Primary immunodeficiency,11/850,38/9416,0.2894736842105263,3.206687306501548,4.293466423865292,3.7451671722545034e-4,0.002098585053418472,0.001556521383750057,CD4/PTPRC/CD40/JAK3/IL2RG/AIRE/CD3D/IL7R/CD8B/LCK/CD3E,11
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,26/850,143/9416,0.18181818181818182,2.0141176470588236,3.8492562087737765,4.0298499427019e-4,0.0022198325955561315,0.001646450734841633,C6/ACTN1/CD40/C7/CD86/C3/IL10/FCGR2A/FCGR1A/C1QC/C1R/C2/C1QB/C1QA/HLA-DQB1/C1S/HLA-DRB1/HLA-DQA1/ELANE/FCGR3A/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DQB2/HLA-DMB,26
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,32/850,195/9416,0.1641025641025641,1.817870286576169,3.635325603006518,6.208322026162518e-4,0.003362841097504697,0.0024942206034933626,CYBA/NCF4/TLR8/AQP9/GSDMD/SELPLG/NCF2/C3/RAC2/SIGLEC9/TLR2/CASP1/PLCB2/FCGR2A/FCGR1A/MAPK13/NCF1/ITGB2/CAMP/CYBB/ITGAM/FPR2/FPR1/CLEC7A/FPR3/TLR7/CASP4/C5AR1/ELANE/PLCG2/CR1/FCGR3A,32
Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,21/850,109/9416,0.1926605504587156,2.134225580140313,3.7517891205890326,6.459230671728969e-4,0.0034413933906752704,0.0025524828711405243,CASP8/CD40/TLR8/MAP3K8/CD86/SPP1/IL1B/TICAM1/LBP/IL6/TLR2/LY96/MAPK13/CXCL10/CXCL11/CXCL8/CD14/TLR5/TLR7/IKBKE/CCL5,21
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,48/850,333/9416,0.14414414414414414,1.5967779544250134,3.492615854709102,7.174081934413586e-4,0.003760607465620025,0.002789244079763517,WNT16/ITGA3/FAS/IBSP/TNC/LAMA3/CASP8/TNFRSF1A/PTGS2/ITGB5/LAMB1/COMP/WNT2/COL1A1/TCIRG1/THBS4/FN1/SPP1/CDKN1A/IRF1/TICAM1/ITGB4/OASL/ITGA7/THBS1/ITGA11/EGF/COL6A1/COL6A2/EGFR/FZD7/FZD1/MX1/CREB3L1/ITGA5/COL6A3/ITGA2/COL1A2/PTGER4/LAMB2/COL6A5/MX2/LAMA2/LAMB3/COL4A6/HLA-C/HLA-E/IKBKE,48
Human Diseases,Infectious disease: viral,hsa05162,Measles,24/850,136/9416,0.17647058823529413,1.954878892733564,3.533249853290294,0.0010289483375563154,0.005308066820727024,0.003936995309948141,FAS/CASP8/FCGR2B/OAS1/CD209/IL2RB/JAK3/OAS2/IL1A/SLAMF1/TNFAIP3/IL1B/STAT5A/IL2RA/IL6/TLR2/IL2RG/MX1/CD3G/CD3D/MX2/TLR7/CD3E/IKBKE,24
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,24/850,138/9416,0.17391304347826086,1.926547314578005,3.4539062939741285,0.001269352438214096,0.006445930350305956,0.0047809491505103295,CD4/WAS/LCP2/NFATC2/PYCARD/CCL2/FN1/PTK2B/WIPF3/IL1B/TICAM1/RAC2/IL6/IL10/CASP1/VAV1/FCGR2A/IL18/MAPK13/ITGA5/NLRP3/CXCL8/CD8B/LCK,24
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,24/850,144/9416,0.16666666666666666,1.8462745098039215,3.2235646491509655,0.002301187997593469,0.011505939987967345,0.00853396034735068,FAS/CASP8/TNFRSF1A/CXCL2/IL1B/C3/TICAM1/LBP/IL6/LY96/MAPK13/C1QC/IL17RC/CXCL3/CXCL1/C2/CXCL8/CD14/C3AR1/C1QB/C1QA/ADH1B/C5AR1/IKBKE,24
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,15/850,75/9416,0.2,2.215529411764706,3.3291242744765346,0.0025135742828851916,0.012377449120267989,0.009180359023615773,FAS/CASP8/GADD45B/TNFRSF10A/PPP1R13L/SERPINE1/PERP/STEAP3/GADD45A/CDKN1A/THBS1/PMAIP1/IGFBP3/ZNF385A/SFN,15
Genetic Information Processing,Information processing in viruses,hsa03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus",5/850,12/9416,0.4166666666666667,4.615686274509804,3.9478045515617346,0.0027358113791929426,0.013270726839368752,0.009842903469523706,FCGR2B/CD209/SLAMF1/CHRNA1/NECTIN4,5
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,36/850,248/9416,0.14516129032258066,1.608045540796964,3.056717025697446,0.002824175713880036,0.013497898632514879,0.010011396880472576,BIRC3/CASP8/TNFRSF1A/PTPRC/CYTH4/MYL9/MYL12A/PYCARD/GSDMD/TNFRSF10A/TNFSF10/NCKAP1L/AHNAK/IL1B/RRAS/RHOJ/RIPK3/IL6/TLR2/CASP1/CASP5/IL18/LY96/MAPK13/NLRP3/DYNLT3/MLKL/RHOH/DYNLRB2/CXCL8/CD14/ANXA2/AHNAK2/TLR5/CASP4/S100A10,36
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,10/850,41/9416,0.24390243902439024,2.7018651362984216,3.440028350504591,0.0028668947672941675,0.013503489845950787,0.01001554388574164,TYMP/UPK3A/HBEGF/CDKN1A/THBS1/EGF/ERBB2/EGFR/CXCL8/MMP1,10
