ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0021700,developmental maturation,311,-0.24492254390608267,-1.3411940347833842,0.005929338446153019,0.01948306694473159,0.011225051795806372,2590,"tags=22%, list=16%, signal=19%",RERE/PALM/FEV/AURKA/TUT4/NEURL1/GDF11/IGSF21/BRCA2/ATP6V1G2/SHANK1/ACTN3/LSM14B/FARP2/SEZ6/RELN/BRD1/TRIP13/DDIT3/DIAPH3/B4GALT6/CDKN1C/RFX3/LRRK2/BCAN/HID1/C1QL1/FBXO5/PLXNB1/CABYR/STXBP1/SCLT1/FLVCR1/REC8/KCNB1/PLD6/BMP2/SYP/RAB3A/KIF14/SRRM4/ASCL1/IGSF9/NEUROD2/RBPJ/ATP6V0A4/DAB1/NRXN1/CFTR/SEZ6L/RAC3/ADGRB3/H3-3A/BCL11A/CNTNAP2/KCNIP2/TDRKH/XYLT1/ACTL6B/NTN4/SOX10/HES5/SIRT2/LNX1/CDK5R1/SOX8/FERMT1/KDM1A
GO:0072697,protein localization to cell cortex,11,-0.6491042653305168,-1.7279177960772558,0.006828353857515469,0.021860674205662022,0.012594895913764727,2166,"tags=45%, list=13%, signal=39%",PLK1/GNAI1/EPB41/GPSM2/SAPCD2
GO:0015800,acidic amino acid transport,72,-0.3517268273734559,-1.5214535060756056,0.006869428672622995,0.021953579680010202,0.012648422843823053,3392,"tags=35%, list=21%, signal=28%",ADORA2A/SLC3A1/TTYH2/SLC1A4/ABAT/NF1/NPY5R/SLC32A1/ABCC8/GRM7/SLC1A7/GABBR1/EPM2A/KCNK2/SYT4/SLC7A14/STXBP1/GRM2/NTSR1/APBA1/SLC17A6/P2RX7/SLC17A8/SLC1A6/SLC1A1
GO:0048588,developmental cell growth,222,-0.2587447984795409,-1.3709937576733005,0.007838420262325719,0.024513994230323095,0.014123590281656568,2004,"tags=25%, list=12%, signal=22%",CDKL3/OLFM1/SEMA4D/NEDD4L/TRIM46/ST8SIA2/PUM2/AURKA/DRAXIN/SPAG9/PLAA/RNF157/NTRK3/DCAF13/FSTL4/TMEM108/PARP2/GDF9/PAFAH1B1/FLRT3/SYT3/DIP2B/SLIT1/NPPA/NIN/SYT4/UNC13A/AKAP6/SH3GL2/SNX32/ADNP/MAPT/SEMA5B/GAREM2/L1CAM/WASF1/RIMS1/TOMM70/ZEB2/BCL11A/PTPRS/CYFIP2/GSK3B/SEMA6C/PRKCZ/RUFY3/RIMS2/MAP2/CLASP2/TNR/FLRT1/DSCAM/ALCAM/DCC/SLITRK1
GO:0001964,startle response,26,-0.49106102813173047,-1.703958816128335,0.008551270979700697,0.026344424844355698,0.015178181866720214,4265,"tags=62%, list=26%, signal=45%",UCN/MECP2/DVL1/GLRA1/KCNA1/PRKN/GLRB/CHD8/ADORA2A/GRIN2D/DRD2/TUBA1A/GRIN3A/CSMD1/CNTNAP2/GRID2
GO:0045995,regulation of embryonic development,84,-0.33134921444693094,-1.486753344487272,0.008883119523479017,0.02718497844972705,0.01566246176906878,2646,"tags=27%, list=16%, signal=23%",RUVBL1/CDK1/OSR1/NODAL/RPS6KA6/KAT14/TADA2A/ACTL6A/ACTR8/EHMT1/PAFAH1B1/TDG/YEATS2/ACTR5/SGF29/RACGAP1/NOTCH1/DHX36/CCSAP/PLCB1/CLASP2/DLL1/LHX1
GO:0071805,potassium ion transmembrane transport,180,-0.26398267909468076,-1.3541642585331821,0.010533506301140751,0.03135445787153676,0.018064682251302387,2829,"tags=27%, list=18%, signal=22%",NEDD4L/KEL/KCNAB1/KCND3/SNAP25/KCNV2/HCN1/KCNK3/KCNA5/CACNA1D/KCNK10/KCNT1/SLC9A5/LARGE1/KCNA3/ABCC8/KCNQ2/KCNA2/WWP2/KCNN1/KCNJ11/KCNT2/NPPA/ANK3/KCNK2/KCNH5/AKAP6/ATP1A3/KCNB1/NALCN/KCNC1/KCNJ9/FXYD2/KCNB2/KCNMB2/KCNIP3/SLC17A6/KCNH7/KCNK12/P2RX7/HCN3/KCND2/DPP10/KCNH4/KCNIP2/KCNK9/KCNS3/KCNH8
GO:0090190,positive regulation of branching involved in ureteric bud morphogenesis,17,-0.5519235297426938,-1.6847768518958017,0.011645935540331042,0.03400658603171263,0.019592689933642205,948,"tags=35%, list=6%, signal=33%",SIX4/SIX1/GDNF/NOG/SOX8/LHX1
GO:0060272,embryonic skeletal joint morphogenesis,12,-0.6094965202555286,-1.6703149122369054,0.013049479986912896,0.037198160705198165,0.021431496478920054,2474,"tags=33%, list=15%, signal=28%",OSR1/COL2A1/HOXA11/NOG
GO:0007626,locomotory behavior,197,-0.2537001509687737,-1.3222372226843768,0.013598949284971674,0.038435161523216306,0.022144187057518267,2314,"tags=21%, list=14%, signal=18%",SCN1A/LARGE1/DDHD2/TSC1/FIG4/GRIN2D/SEZ6/RELN/PAFAH1B1/GRM6/LRRK2/DRD2/TUBA1A/NEGR1/C1QL1/STRN/APBA2/HIPK2/WDR47/NTSR1/CNP/OPRD1/APBA1/CHRNA3/AGTPBP1/CNTN1/ADCY5/DAB1/SEZ6L/GDNF/PRKCE/LRRTM1/CHRNB2/KCND2/FGF12/GAD1/ELAVL4/PAK5/TNR/CHD7/DSCAM/SLC1A1
GO:0048706,embryonic skeletal system development,125,-0.2862404449101977,-1.379746850392448,0.0147572902708597,0.040931215596265905,0.02358227359361631,2474,"tags=26%, list=15%, signal=22%",OSR1/NODAL/PDGFRA/DLX6/MKS1/PAX5/PBX1/DLX5/GRHL2/TFAP2A/EYA1/HAND2/FLVCR1/COL2A1/HOXD4/HOXA11/MDFI/SIX4/SIX1/MYCN/ZEB1/DMRT2/FGF9/HOXD3/XYLT1/NOG/SOX11/MMP16/LHX1/ACVR2A/MBTD1/DSCAML1
