ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa03250,Viral life cycle - HIV-1,61,0.46061443444208583,1.8625176525539664,5.624291506300598e-4,0.002011110296192335,0.0010823995349711945,3422,"tags=39%, list=21%, signal=31%",APOBEC3F/BST2/APOBEC3G/FURIN/MDFIC/APOBEC3C/CXCR4/TRIM5/CCR5/CD4/SERINC3/ELL2/MX2/ELL/MX1/PDCD6IP/APOBEC3A/APOBEC3A_B/APOBEC3H/BICD1/APOBEC3B/CHMP4B/SAMHD1/MAP1B
hsa00480,Glutathione metabolism,47,0.4858225083675924,1.8543126383915702,8.327296279480863e-4,0.002918676121719035,0.0015708604758582973,4389,"tags=57%, list=27%, signal=42%",GPX8/PRDX6/OPLAH/LAP3/MGST2/GCLM/MGST1/ANPEP/GSTK1/GSTM4/RRM2B/G6PD/GGT5/GSTM5/SMS/GPX1/CHAC1/GSTO1/HPGDS/GGCT/GSR/GSS/MGST3/GSTP1/GSTM2/TXNDC12/GPX4
hsa00500,Starch and sucrose metabolism,28,0.5611283562029481,1.878686322800866,8.507345928766936e-4,0.0029525494693955837,0.0015890914479946498,4612,"tags=64%, list=28%, signal=46%",HKDC1/HK3/PYGL/GAA/UGP2/HK1/GYS1/PGM2/GPI/GBE1/PGM2L1/GCK/GYG2/G6PC3/PYGM/ENPP1/MGAM/GYG1
hsa04622,RIG-I-like receptor signaling pathway,55,0.46329507025070576,1.839946666071263,9.442474966811787e-4,0.0032140732098570888,0.0017298461224624832,2515,"tags=35%, list=16%, signal=29%",CASP8/DHX58/TANK/IKBKE/RIPK1/TRADD/NFKB1/STING1/IRF3/CASP10/NFKBIA/MAPK13/NLRX1/CXCL8/CXCL10/IKBKB/IFIH1/ZNFX1/IRF7
hsa00052,Galactose metabolism,29,0.565566770205869,1.9086588002133023,0.001023296115333279,0.003354137266925748,0.0018052299890382413,3959,"tags=52%, list=24%, signal=39%",GALM/B4GALT1/HKDC1/HK3/GAA/GLB1/UGP2/HK1/GALK1/PGM2/PFKL/GLA/GCK/AKR1B10/G6PC3
hsa03272,Virion - Hepatitis viruses,37,0.5187123540845022,1.8905159358125643,0.0011017741953867927,0.0035782391299717855,0.0019258438374216273,4094,"tags=46%, list=25%, signal=34%",CLDN23/DPP4/LAMP2/TGOLN2/CD63/CLDN4/CLDN7/LAMP1/PDCD6IP/CLDN1/CLDN10/CD81/CHMP4B/LDLR/EGFR/CLDN12/CD9
hsa04975,Fat digestion and absorption,24,0.581341120665776,1.8865349238519367,0.00135491998103398,0.004257770321895989,0.00229157427375312,341,"tags=25%, list=2%, signal=25%",PLA2G5/PLA2G2A/PLA2G2C/SLC27A1/AGPAT2/MTTP
hsa00531,Glycosaminoglycan degradation,17,0.6369263358503261,1.8499382065493999,0.0016390228803817577,0.005001845686682261,0.0026920430249464445,3478,"tags=65%, list=21%, signal=51%",HEXB/HGSNAT/GNS/GUSB/SGSH/GLB1/HEXA/GALNS/NAGLU/IDS/HPSE
hsa04613,Neutrophil extracellular trap formation,166,0.32925990527077,1.5543575039680904,0.0017098384235548368,0.005173357281524891,0.002784352268676793,1471,"tags=20%, list=9%, signal=19%",GSDMD/CASP4/CASP1/C5AR1/CLEC7A/FCGR2A/HDAC7/CAMP/SIGLEC9/TLR2/ITGB2/ITGAM/FCGR3A/FPR2/AQP9/C3/NCF2/NCF4/RAC2/NFKB1/CR1/PLCB2/TLR8/CYBA/FPR1/SELPLG/PLCG2/NCF1/CYBB/MAPK13/PIK3CD/FCGR1A/SYK/TLR7
hsa00592,alpha-Linolenic acid metabolism,15,0.6694449773595572,1.8430384227578167,0.001985793013016454,0.0059573790390493615,0.003206320565173757,788,"tags=33%, list=5%, signal=32%",PLA2G5/PLA2G2A/PLA2G2C/PLB1/PLAAT3
hsa00513,Various types of N-glycan biosynthesis,42,0.47888268718328386,1.7841288093023369,0.0024126238482348925,0.007177049094749176,0.003862759102437113,3810,"tags=45%, list=24%, signal=35%",MAN1C1/HEXB/MAN1A1/B4GALT1/MGAT1/MAGT1/ALG2/MGAT4B/HEXA/RPN2/MGAT4A/MAN2A1/ALG1/OSTC/DDOST/STT3A/MAN1B1/OST4/RPN1
hsa04146,Peroxisome,78,0.3899869995164466,1.6394205753240982,0.003825964625231302,0.010922511913966782,0.005878604390211084,5883,"tags=53%, list=36%, signal=34%",PIPOX/ACOX2/CROT/DDO/ABCD1/GSTK1/NOS2/HMGCL/ACSL5/NUDT19/ACSL1/EPHX2/ACSL3/ACSL4/SOD1/SCP2/PHYH/CAT/MPV17/AMACR/DHRS4/ACAA1/ECI2/PEX11B/ABCD2/IDH1/DAO/PEX11G/PEX12/DECR2/PRDX5/PEX10/PMVK/PECR/PEX13/PXMP4/AGXT/PRDX1/CRAT/MPV17L/PEX2
hsa04392,Hippo signaling pathway - multiple species,26,0.5160471967686407,1.711626798310787,0.006749113260498903,0.01866551636106728,0.010045966284130771,1565,"tags=27%, list=10%, signal=24%",YAP1/LATS2/WWTR1/TEAD3/MOB1A/AJUBA/WTIP
hsa03320,PPAR signaling pathway,63,0.39317798230566753,1.5957514639643327,0.0068181512193072604,0.018710275439029225,0.010070056064419537,4133,"tags=40%, list=26%, signal=30%",PLTP/ACOX2/SLC27A1/CYP27A1/ACSL5/UBC/ACSL1/PCK2/ANGPTL4/NR1H3/ACSL3/PPARG/PPARD/GK/FABP5/OLR1/ACSL4/PLIN2/SCP2/MMP1/RXRA/CD36/SLC27A6/PCK1/ACAA1
hsa00564,Glycerophospholipid metabolism,93,0.3417912965028542,1.4861711516492178,0.012487606739736538,0.03157580561333381,0.01699441217964146,3568,"tags=30%, list=22%, signal=24%",PLA2G5/SGMS2/PLA2G2A/PLA2G2C/AGPAT2/PLB1/CHPT1/PLAAT3/GPAT3/PLD2/MBOAT7/MBOAT1/PLA2G15/PCYT1A/LPIN2/LPCAT2/AGPAT3/PLD3/PNPLA6/PNPLA7/CDS1/LPCAT3/CDIPT/DGKA/DGKZ/PHOSPHO1/PLPP3/LPIN3
hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,16,0.5508985633098145,1.562417331787457,0.014501438199488941,0.03640786611786585,0.019595075133314658,3310,"tags=44%, list=20%, signal=35%",HEXB/GBGT1/NAGA/ST3GAL1/HEXA/A4GALT/GLA
hsa01200,Carbon metabolism,104,0.3300076857180586,1.4546592239358602,0.018166627190664992,0.0437482042550708,0.02354571802012434,4821,"tags=36%, list=30%, signal=25%",SUCLG2/HKDC1/HK3/PKM/ADPGK/H6PD/FBP1/SDSL/ACSS2/OGDH/HK1/PRPS2/G6PD/SDS/RGN/PFKL/GPI/SHMT1/IDH3A/ACADS/OGDHL/DLD/ALDOA/CAT/PGLS/GCK/GAPDH/TKFC/SDHD/PGK1/TKT/ECHS1/TPI1/IDH1/RPE/SDHC/PSPH
