ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa04914,Progesterone-mediated oocyte maturation,92,-0.38596201864146873,-1.778168221434482,2.232125506598828e-4,8.588830753652012e-4,4.6225940125216005e-4,4275,"tags=40%, list=26%, signal=30%",ANAPC1/FZR1/CDC23/BRAF/KRAS/ANAPC7/PIK3CA/SPDYE3/ADCY1/PIK3R1/HSP90AB1/CCNB1/MAPK12/CDK1/AURKA/RPS6KA6/CPEB3/PLK1/ANAPC5/CCNB2/BUB1/MAD2L2/MAPK10/CCNB3/GNAI1/CCNA2/MAD2L1/PIK3R3/PDE3B/CDC25C/PKMYT1/RAF1/ADCY5/KIF22/AKT3/CDC25A/MAPK8
hsa03015,mRNA surveillance pathway,90,-0.3747202419536473,-1.7156000145332118,4.6864461997370453e-4,0.0016928591374560347,9.111136005933462e-4,5451,"tags=48%, list=34%, signal=32%",CPSF7/CPSF1/SMG1/CSTF1/GSPT2/ACIN1/PPP2R3A/PPP2R5B/PPP2R5C/PAPOLB/UPF3A/PNN/PCF11/PPP2R1A/UPF2/RNMT/PPP2R2C/GLE1/WDR33/DDX19B/RNPS1/ALYREF/PPP2R5E/CSTF3/PPP2R2B/WDR82/RBM8A/GSPT1/PABPN1/HBS1L/CASC3/PPP2R2A/PABPC5/CPSF3/CSTF2T/NCBP1/NUDT21/PPP2R5D/FIP1L1/PPP2R2D/RNGTT/CPSF6/PPP2R3B
hsa05017,Spinocerebellar ataxia,134,-0.32823882412965527,-1.6112277710003664,9.93020961874622e-4,0.0033478992428915824,0.0018018726225494395,3295,"tags=25%, list=20%, signal=20%",PRKCG/ATG2B/PIK3R1/NOP56/MCU/PIK3C3/FGF14/KCND3/PUM2/CACNA1A/PSMB7/GRIN2B/RB1CC1/GRIA3/GRIN2D/NFYA/OPA1/RELN/MAPK10/GRIN3A/PIK3R3/TRPC3/TBPL1/RBPJ/DAB1/PLCB4/TWNK/GRIA2/PLCB1/SLC1A6/AKT3/SPTBN2/MAPK8
hsa03030,DNA replication,35,-0.4971824948215587,-1.858462863450163,0.001017639014588887,0.003354137266925748,0.0018052299890382413,5517,"tags=63%, list=34%, signal=42%",MCM3/MCM6/POLD3/MCM5/PCNA/POLA1/POLA2/POLD1/MCM4/FEN1/RFC5/LIG1/POLE2/MCM2/POLE/RNASEH2B/RFC4/PRIM1/RFC3/MCM7/PRIM2/DNA2
hsa04727,GABAergic synapse,80,-0.3800304556534768,-1.6953749845801094,0.0011202622753098332,0.0036052076859971,0.0019403585821155967,3843,"tags=35%, list=24%, signal=27%",GNB3/SRC/GAD2/GABRG2/GABRB2/ADCY1/PRKCG/GNG3/GNAO1/ABAT/CACNA1A/CACNA1D/SLC32A1/GABRQ/GNB4/GABBR1/GNAI1/CACNA1B/GNG13/PLCL1/GPHN/GABRB3/ADCY5/SLC38A1/GABRA3/GNG4/GAD1/GNG2
hsa04721,Synaptic vesicle cycle,69,-0.394609903291805,-1.6991463051765534,0.001434697606993987,0.00445511362171817,0.0023977863976538476,3506,"tags=39%, list=22%, signal=31%",SLC6A4/ATP6V1E2/SYT1/SLC18A3/CPLX2/SNAP25/CACNA1A/SLC32A1/ATP6V1G2/CPLX1/SLC1A7/AP2B1/UNC13A/STXBP1/CACNA1B/RAB3A/STX1B/ATP6V0A2/RIMS1/ATP6V0A4/SLC18A1/UNC13C/SLC17A6/SLC17A8/SLC1A6/DNM3/SLC1A1
hsa04723,Retrograde endocannabinoid signaling,138,-0.32689919662973965,-1.6177602636998731,0.0015280118335031375,0.00470361903530531,0.0025315344793049696,3843,"tags=29%, list=24%, signal=22%",GNB3/NDUFA13/GABRG2/GABRB2/ADCY1/NDUFA7/NDUFS1/KCNJ3/PRKCG/GNG3/GNAO1/MAPK12/GRM5/CACNA1A/CACNA1D/SLC32A1/GRIA3/GABRQ/NDUFA9/GNB4/MAPK10/GNAI1/CACNA1B/GNG13/KCNJ9/ABHD6/FAAH/GABRB3/ADCY5/RIMS1/PLCB4/GABRA3/SLC17A6/SLC17A8/GRIA2/GRIA4/PLCB1/GNG4/GNG2/MAPK8
hsa05032,Morphine addiction,83,-0.35950218468322426,-1.6188366296619665,0.004342419857884914,0.012200131981676663,0.006566232199475101,3843,"tags=36%, list=24%, signal=28%",GNB3/GABRG2/GABRB2/ADCY1/PDE11A/KCNJ3/PRKCG/GNG3/GRK3/GNAO1/CACNA1A/SLC32A1/GABRQ/GNB4/GABBR1/PDE7A/OPRM1/GNAI1/CACNA1B/GNG13/PDE10A/KCNJ9/PDE3B/GABRB3/ADCY5/GRK4/GABRA3/PDE2A/GNG4/GNG2
hsa04713,Circadian entrainment,89,-0.3338669064535466,-1.5187804247427958,0.004847823953612489,0.013512832122667882,0.007272740452580692,4240,"tags=37%, list=26%, signal=28%",NOS1/GRIN1/ADCY10/CALM3/GNB3/ADCYAP1/ADCY1/KCNJ3/PRKCG/GNG3/GUCY1B1/GNAO1/CREB1/CACNA1D/GRIN2B/GRIA3/GRIN2D/GNB4/CACNA1H/GUCY1A2/CACNA1I/GNAI1/GNG13/KCNJ9/ADCY5/RPS6KA5/PLCB4/GRIA2/GRIA4/PLCB1/GNG4/PRKG2/GNG2
hsa03022,Basal transcription factors,39,-0.415036199227127,-1.5768565839038793,0.016570873083133802,0.040455786699512865,0.02177370619272028,5057,"tags=44%, list=31%, signal=30%",TAF7L/TAF4/TBP/TAF3/GTF2F2/GTF2I/ERCC3/TAF11/CCNH/GTF2E1/GTF2A1/TAF2/TAF4B/TBPL1/TAF5L/MNAT1/TAF5
hsa03440,Homologous recombination,41,-0.407949296800028,-1.5881533433363688,0.019400164597641295,0.04578438845043346,0.024641612576653156,5508,"tags=49%, list=34%, signal=32%",RBBP8/POLD3/BARD1/BRCA1/RAD52/TOP3B/UIMC1/POLD1/PALB2/RAD54B/BRCA2/TOP3A/RAD51C/MRE11/RAD51/XRCC2/RAD54L/BRIP1/EME1/TOPBP1
