term,estimate,std.error,statistic,p.value,conf.low,conf.high,significance
Age at Diagnosis,1.0464528998859421,0.008445058804659164,5.376665298087994,7.587803755781978e-8,1.0292745600949225,1.0639179419519589,p < 0.001
GSVA: Positive Regulation Of Cytokine Production,3.7683791658385584,0.6639324066500096,1.9981627139150693,0.04569902244027499,1.0256857100406804,13.845061307291571,p < 0.05
GSVA: Nuclear Division,1.8384803790804776,0.38537775383100853,1.5801102772679734,0.11408161412249983,0.8638231933090973,3.9128494470215562,p ≥ 0.1
GSVA: Synapse Assembly,1.4492418972594026,0.3932264323530011,0.9435799826908287,0.34538432532386665,0.670541921850567,3.132245737858719,p ≥ 0.1
Cell Type: TAM (per SD),0.8592856410353167,0.19150539862291582,-0.7919039670154272,0.4284166736966762,0.5903748711480707,1.2506829964723982,p ≥ 0.1
Cell Type: NPC (per SD),1.0504045650025888,0.16298028587501814,0.30172600139272765,0.7628609452709302,0.7631809647364464,1.4457249343991487,p ≥ 0.1
Subtype (ME vs PN),0.9805654802794069,0.37076041104953716,-0.05293405782218889,0.9577844482075879,0.4741161687389049,2.0280022587567257,p ≥ 0.1
