Direction,Top 5 ORA Pathways,Top 5 GSEA Pathways,Biological Theme
Up in ME,leukocyte migration; cell chemotaxis; leukocyte proliferation; regulation of leukocyte migration; myeloid leukocyte activation,cytokine-mediated signaling pathway; adaptive immune response; positive regulation of cytokine production; leukocyte mediated immunity; leukocyte migration,Mesenchymal / Wound-Healing Program
Down in ME (Up in PN),central nervous system neuron differentiation; regulation of postsynaptic membrane potential; synapse assembly; regulation of synapse structure or activity; axonogenesis,chromosome segregation; nuclear chromosome segregation; sister chromatid segregation; nuclear division; mRNA processing,Neural Differentiation / Cell Cycle Proliferation Program
