Pathway,CellType,rho,p_value,p_adjust,Subtype
Neural__regulation.of.postsynaptic.membrane.potential,OPC,0.31960675883256523,2.799433776402738e-4,6.382709010198242e-4,ME
Neural__synapse.assembly,OPC,0.4204301075268817,1.0527531586952032e-6,3.704131484297937e-6,ME
Neural__regulation.of.synapse.structure.or.activity,OPC,0.4296712749615975,5.721364539661841e-7,2.064036574434968e-6,ME
Neural__axonogenesis,OPC,0.40943164362519197,2.125309512393095e-6,6.962220816460139e-6,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,Astrocyte,0.006721966205837172,0.9406923607586991,0.9572117852769414,ME
MesWoundHealing__adaptive.immune.response,Astrocyte,0.009572964669738861,0.9156171247780136,0.937898958564566,ME
MesWoundHealing__positive.regulation.of.cytokine.production,Astrocyte,0.006371735791090629,0.9437772339046335,0.9572117852769414,ME
MesWoundHealing__leukocyte.mediated.immunity,Astrocyte,0.03337019969278033,0.7117961197118232,0.7626386996912391,ME
MesWoundHealing__leukocyte.migration,Astrocyte,0.015072196620583714,0.8675047383690159,0.8925590268417672,ME
Proliferation__chromosome.segregation,Astrocyte,-0.3533824884792626,5.289119177579892e-5,1.4220744958587446e-4,ME
Proliferation__nuclear.chromosome.segregation,Astrocyte,-0.31794162826420885,3.024321151882521e-4,6.840726414972369e-4,ME
Proliferation__sister.chromatid.segregation,Astrocyte,-0.29998771121351764,6.765704119566342e-4,0.0014607770258154604,ME
Proliferation__nuclear.division,Astrocyte,-0.3361597542242703,1.267034559676521e-4,3.1675863991913026e-4,ME
Proliferation__mRNA.processing,Astrocyte,-0.2691305683563748,0.0024057991133406642,0.004571018315347262,ME
Neural__central.nervous.system.neuron.differentiation,Astrocyte,0.1763563748079877,0.049141243693255836,0.066062521002726,ME
Neural__regulation.of.postsynaptic.membrane.potential,Astrocyte,0.1686697388632872,0.060062410557833824,0.0785219587568011,ME
Neural__synapse.assembly,Astrocyte,0.09416897081413209,0.2962137754954852,0.343174496000867,ME
Neural__regulation.of.synapse.structure.or.activity,Astrocyte,0.13088786482334866,0.14568690478699922,0.17743917890724262,ME
Neural__axonogenesis,Astrocyte,0.1529155145929339,0.08866174272035368,0.11131540385595065,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,Oligodendrocyte,-0.03939170506912442,0.6627224711839066,0.7209003980435625,ME
MesWoundHealing__adaptive.immune.response,Oligodendrocyte,-0.0024577572964669735,0.9782981875378604,0.9817428994658106,ME
MesWoundHealing__positive.regulation.of.cytokine.production,Oligodendrocyte,-0.024233486943164358,0.788502206725217,0.8292366380689551,ME
MesWoundHealing__leukocyte.mediated.immunity,Oligodendrocyte,0.03054992319508448,0.7352078914452382,0.7789377288546204,ME
MesWoundHealing__leukocyte.migration,Oligodendrocyte,0.0042334869431643616,0.9626275825111232,0.9694306042956542,ME
Proliferation__chromosome.segregation,Oligodendrocyte,-0.0800921658986175,0.37460042602292654,0.42534311321328316,ME
Proliferation__nuclear.chromosome.segregation,Oligodendrocyte,-0.03123809523809523,0.7294717967223074,0.7757442614397673,ME
Proliferation__sister.chromatid.segregation,Oligodendrocyte,-0.017800307219662057,0.8438042660547911,0.8713196225565777,ME
Proliferation__nuclear.division,Oligodendrocyte,-0.05797235023041474,0.5207566641266944,0.5774927987397195,ME
Proliferation__mRNA.processing,Oligodendrocyte,-0.17188940092165894,0.05526756058648979,0.07360399423901677,ME
Neural__central.nervous.system.neuron.differentiation,Oligodendrocyte,0.17587096774193547,0.04977843740657315,0.06660495145949928,ME
Neural__regulation.of.postsynaptic.membrane.potential,Oligodendrocyte,0.1871029185867895,0.03667649862110551,0.05037450838796977,ME
Neural__synapse.assembly,Oligodendrocyte,0.16526574500768046,0.0654969431642342,0.08446438371858257,ME
Neural__regulation.of.synapse.structure.or.activity,Oligodendrocyte,0.2208049155145929,0.013342473343602173,0.020666330994166413,ME
Neural__axonogenesis,Oligodendrocyte,0.2357235023041474,0.008135509455878934,0.013480349970497072,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,Neuron,-0.24192933947772655,0.00656420187696294,0.011138094934154777,ME
MesWoundHealing__adaptive.immune.response,Neuron,-0.23480798771121347,0.00839348515651272,0.013827417743388007,ME
MesWoundHealing__positive.regulation.of.cytokine.production,Neuron,-0.23304454685099843,0.008910829815497881,0.014595324697798255,ME
MesWoundHealing__leukocyte.mediated.immunity,Neuron,-0.23099846390168968,0.009546180611883406,0.015370968781846163,ME
MesWoundHealing__leukocyte.migration,Neuron,-0.21968049155145924,0.013832813641801053,0.021195440257598386,ME
Proliferation__chromosome.segregation,Neuron,0.04140706605222733,0.6465997941895794,0.706057246528851,ME
Proliferation__nuclear.chromosome.segregation,Neuron,0.023496159754224265,0.7947929288167958,0.8327793555617162,ME
Proliferation__sister.chromatid.segregation,Neuron,0.03134254992319508,0.7286024361176586,0.7757442614397673,ME
Proliferation__nuclear.division,Neuron,0.005019969278033793,0.9556911674079205,0.9658580947207708,ME
Proliferation__mRNA.processing,Neuron,-0.034678955453148995,0.7010208029068593,0.7539280333149242,ME
Neural__central.nervous.system.neuron.differentiation,Neuron,0.09384946236559137,0.2978628879818956,0.34368794767141797,ME
Neural__regulation.of.postsynaptic.membrane.potential,Neuron,0.24482949308755755,0.005927100649746783,0.010300144421816055,ME
Neural__synapse.assembly,Neuron,0.2913364055299539,9.795840557917566e-4,0.0020084996827384937,ME
Neural__regulation.of.synapse.structure.or.activity,Neuron,0.2399569892473118,0.007031544640907335,0.01178817778034465,ME
Neural__axonogenesis,Neuron,0.21770199692780334,0.014733825924267793,0.022455296194739686,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,Radial glial,-0.39542857142857135,5.017680168918422e-6,1.5213179235550535e-5,ME
MesWoundHealing__adaptive.immune.response,Radial glial,-0.4038955453149001,2.9987781938344426e-6,9.602829047672092e-6,ME
MesWoundHealing__positive.regulation.of.cytokine.production,Radial glial,-0.39715514592933937,4.522851252122334e-6,1.4164973701701814e-5,ME
MesWoundHealing__leukocyte.mediated.immunity,Radial glial,-0.3880983102918586,7.747156907665479e-6,2.299937206963189e-5,ME
MesWoundHealing__leukocyte.migration,Radial glial,-0.38049769585253446,1.2023516407385222e-5,3.461315329398776e-5,ME
Proliferation__chromosome.segregation,Radial glial,0.5129769585253455,9.56632288013683e-10,5.5640857568142786e-9,ME
Proliferation__nuclear.chromosome.segregation,Radial glial,0.5297572964669738,2.1165299567334034e-10,1.311328342758739e-9,ME
Proliferation__sister.chromatid.segregation,Radial glial,0.5341443932411674,1.4072294169250283e-10,9.115008723264388e-10,ME
Proliferation__nuclear.division,Radial glial,0.5052473118279569,1.8652823196842945e-9,1.063210922220048e-8,ME
Proliferation__mRNA.processing,Radial glial,0.36752688172043,2.4830922443947484e-5,6.938051859338268e-5,ME
