Pathway,CellType,rho,p_value,p_adjust,Subtype
MesWoundHealing__leukocyte.mediated.immunity,Plasma B,0.021265745007680487,0.8139011718742705,0.846946407651681,ME
MesWoundHealing__leukocyte.migration,Plasma B,-0.021167434715821807,0.8147460202521207,0.846946407651681,ME
Proliferation__chromosome.segregation,Plasma B,-0.06384024577572964,0.4793757141090713,0.5336799942229895,ME
Proliferation__nuclear.chromosome.segregation,Plasma B,-0.009284178187403992,0.9181537173316278,0.937898958564566,ME
Proliferation__sister.chromatid.segregation,Plasma B,-2.0890937019969272e-4,0.9981551228489167,0.9981551228489167,ME
Proliferation__nuclear.division,Plasma B,-0.03617818740399385,0.6887499678738921,0.7435368971365881,ME
Proliferation__mRNA.processing,Plasma B,-0.10607680491551456,0.23904177791911935,0.2838621112789542,ME
Neural__central.nervous.system.neuron.differentiation,Plasma B,0.2231397849462365,0.012372521392222382,0.019268680856739776,ME
Neural__regulation.of.postsynaptic.membrane.potential,Plasma B,0.181394777265745,0.042917867543035323,0.05824567737983365,ME
Neural__synapse.assembly,Plasma B,0.1545990783410138,0.08516535167145636,0.10835770190341547,ME
Neural__regulation.of.synapse.structure.or.activity,Plasma B,0.2323133640552995,0.009133458990361599,0.014874490355731747,ME
Neural__axonogenesis,Plasma B,0.24253149001536092,0.00642712955706852,0.011101405598572898,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,Mural cell,0.3169646697388632,3.16392820728614e-4,7.100153850996456e-4,ME
MesWoundHealing__adaptive.immune.response,Mural cell,0.2846021505376344,0.0012964034238942927,0.0026019364493653063,ME
MesWoundHealing__positive.regulation.of.cytokine.production,Mural cell,0.29913364055299535,7.021051251286731e-4,0.001493283288519939,ME
MesWoundHealing__leukocyte.mediated.immunity,Mural cell,0.24192319508448534,0.006565613855922817,0.011138094934154777,ME
MesWoundHealing__leukocyte.migration,Mural cell,0.3828018433179723,1.053570259224452e-5,3.0639543252956e-5,ME
Proliferation__chromosome.segregation,Mural cell,-0.07817511520737326,0.3861772053680206,0.43674802988049943,ME
Proliferation__nuclear.chromosome.segregation,Mural cell,-0.10259293394777264,0.254908625466802,0.30020230685139904,ME
Proliferation__sister.chromatid.segregation,Mural cell,-0.09654070660522271,0.2841612057517529,0.33055487199693706,ME
Proliferation__nuclear.division,Mural cell,-0.12132104454685097,0.1777331035878983,0.2137296815297511,ME
Proliferation__mRNA.processing,Mural cell,-0.220221198156682,0.013595093865037261,0.02094379325154389,ME
Neural__central.nervous.system.neuron.differentiation,Mural cell,-0.1424270353302611,0.11308589752275225,0.1389201758361396,ME
Neural__regulation.of.postsynaptic.membrane.potential,Mural cell,-0.16015360983102914,0.0744045051789882,0.09509095953368446,ME
Neural__synapse.assembly,Mural cell,-0.17728417818740397,0.04794212488252234,0.06475595067070554,ME
Neural__regulation.of.synapse.structure.or.activity,Mural cell,-0.20311520737327182,0.023097467179346434,0.033415117492963116,ME
Neural__axonogenesis,Mural cell,-0.2073364055299539,0.020336858475007366,0.03050528771251105,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,Endothelial,0.2603932411674347,0.003359131847479138,0.006136875490586887,ME
MesWoundHealing__adaptive.immune.response,Endothelial,0.24753917050691238,0.005382206309417558,0.009468696285086444,ME
MesWoundHealing__positive.regulation.of.cytokine.production,Endothelial,0.26044854070660517,0.003352157633449633,0.006136875490586887,ME
MesWoundHealing__leukocyte.mediated.immunity,Endothelial,0.21336405529953914,0.016889868025706745,0.02550793520958674,ME
MesWoundHealing__leukocyte.migration,Endothelial,0.3262734254992319,2.0453247822164645e-4,4.817500520096631e-4,ME
Proliferation__chromosome.segregation,Endothelial,-0.12572657450076805,0.16238517103674907,0.19693520742754675,ME
Proliferation__nuclear.chromosome.segregation,Endothelial,-0.15013210445468508,0.09469191214864751,0.1178480129360897,ME
Proliferation__sister.chromatid.segregation,Endothelial,-0.14567741935483866,0.10501328479154019,0.1301251572416911,ME
Proliferation__nuclear.division,Endothelial,-0.17118279569892472,0.0562919385224032,0.07427408555039311,ME
Proliferation__mRNA.processing,Endothelial,-0.2409953917050691,0.006781943902841952,0.01143700598999974,ME
Neural__central.nervous.system.neuron.differentiation,Endothelial,-0.10879262672811058,0.2271599268897386,0.27088108436642466,ME
Neural__regulation.of.postsynaptic.membrane.potential,Endothelial,-0.04688786482334868,0.603592349886217,0.6616300758368149,ME
Neural__synapse.assembly,Endothelial,-0.06516129032258064,0.4703103548664429,0.5256409848507303,ME
Neural__regulation.of.synapse.structure.or.activity,Endothelial,-0.1228817204301075,0.1721785014775302,0.20792742763176314,ME
Neural__axonogenesis,Endothelial,-0.14337941628264206,0.11067209119371645,0.13654348913510472,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,AC,0.1958152958152958,0.15192588023491307,0.262417429496668,PN
MesWoundHealing__adaptive.immune.response,AC,0.2386002886002886,0.07937936398956885,0.16158560556696377,PN
MesWoundHealing__positive.regulation.of.cytokine.production,AC,0.27366522366522367,0.04320593381784742,0.10093189457447961,PN
MesWoundHealing__leukocyte.mediated.immunity,AC,0.2367243867243867,0.08184177132086619,0.164259893143992,PN
MesWoundHealing__leukocyte.migration,AC,0.21046176046176046,0.1229989737275065,0.22762797085934644,PN
Proliferation__chromosome.segregation,AC,-0.3774170274170274,0.004503051949771924,0.014259664507611094,PN
Proliferation__nuclear.chromosome.segregation,AC,-0.3883838383838384,0.0033879853167435585,0.011098572589332348,PN
Proliferation__sister.chromatid.segregation,AC,-0.37200577200577195,0.005163737605902229,0.016172145249254234,PN
Proliferation__nuclear.division,AC,-0.3862914862914863,0.003579625406056847,0.011593105008252289,PN
Proliferation__mRNA.processing,AC,-0.40699855699855697,0.0020440743095124715,0.0070188093760368,PN
Neural__central.nervous.system.neuron.differentiation,AC,-0.04177489177489177,0.7620216252012618,0.8450434365072359,PN
Neural__regulation.of.postsynaptic.membrane.potential,AC,0.18427128427128425,0.1780546758931977,0.2967577931553295,PN
Neural__synapse.assembly,AC,0.276046176046176,0.04134865675600818,0.09739146426001925,PN
Neural__regulation.of.synapse.structure.or.activity,AC,0.18318903318903318,0.18066120874587752,0.29935142146845983,PN
Neural__axonogenesis,AC,0.05952380952380952,0.6659710041180285,0.7693075739421291,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,MES,0.5213564213564214,4.476655338560984e-5,2.967085515092745e-4,PN
MesWoundHealing__adaptive.immune.response,MES,0.5122655122655123,6.387064410772759e-5,4.1370758115232643e-4,PN
MesWoundHealing__positive.regulation.of.cytokine.production,MES,0.5249639249639249,3.876813777617617e-5,2.762229816552552e-4,PN
MesWoundHealing__leukocyte.mediated.immunity,MES,0.5268398268398268,3.595048289518681e-5,2.7199258128347153e-4,PN
MesWoundHealing__leukocyte.migration,MES,0.5746031746031746,4.484035181323145e-6,4.122419440893859e-5,PN
Proliferation__chromosome.segregation,MES,-0.2587301587301587,0.05647674637530756,0.12381440551509734,PN
Proliferation__nuclear.chromosome.segregation,MES,-0.2562770562770562,0.058942510206582026,0.12823370541126625,PN
Proliferation__sister.chromatid.segregation,MES,-0.24191919191919192,0.07516648163103619,0.15636822821054974,PN
Proliferation__nuclear.division,MES,-0.2858585858585858,0.0343739653615947,0.0865296770408763,PN
Proliferation__mRNA.processing,MES,-0.3808802308802308,0.004120343328719512,0.013194357850393943,PN
Neural__central.nervous.system.neuron.differentiation,MES,0.10526695526695526,0.4443441742200097,0.5673478084510892,PN
Neural__regulation.of.postsynaptic.membrane.potential,MES,0.20786435786435786,0.12779805690949814,0.23248150941846654,PN
Neural__synapse.assembly,MES,0.0831168831168831,0.546310190688357,0.654194976244461,PN
Neural__regulation.of.synapse.structure.or.activity,MES,0.14877344877344875,0.2783481078550512,0.4064570443313169,PN
Neural__axonogenesis,MES,0.11053391053391053,0.42175570583411814,0.5488601651265922,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,NPC,-0.17683982683982682,0.1965086301515125,0.31820999768852876,PN
MesWoundHealing__adaptive.immune.response,NPC,-0.16673881673881674,0.22371659815068998,0.34279156168250885,PN
MesWoundHealing__positive.regulation.of.cytokine.production,NPC,-0.18513708513708513,0.17598910997670278,0.2967577931553295,PN
MesWoundHealing__leukocyte.mediated.immunity,NPC,-0.17734487734487733,0.195212984495936,0.31820999768852876,PN
MesWoundHealing__leukocyte.migration,NPC,-0.09639249639249639,0.48387794556067454,0.599587889064314,PN
Proliferation__chromosome.segregation,NPC,0.2942279942279942,0.02922413163098149,0.07711923624842337,PN
Proliferation__nuclear.chromosome.segregation,NPC,0.2854978354978355,0.03461187081635052,0.0865296770408763,PN
Proliferation__sister.chromatid.segregation,NPC,0.2867243867243867,0.033808524658541166,0.08603062078289493,PN
Proliferation__nuclear.division,NPC,0.26060606060606056,0.054647995156691484,0.1222751627759615,PN
Proliferation__mRNA.processing,NPC,0.33354978354978354,0.012825689320134408,0.03729919853304394,PN
Neural__central.nervous.system.neuron.differentiation,NPC,0.4809523809523809,2.017294204574393e-4,0.0010646830524142631,PN
Neural__regulation.of.postsynaptic.membrane.potential,NPC,0.43780663780663776,8.295604120711368e-4,0.0032982353252056914,PN
Neural__synapse.assembly,NPC,0.46507936507936504,3.468518758467324e-4,0.0017043583554537712,PN
Neural__regulation.of.synapse.structure.or.activity,NPC,0.48917748917748916,1.507357640869119e-4,8.423469169562723e-4,PN
Neural__axonogenesis,NPC,0.47272727272727266,2.680182801577658e-4,0.001364021604374344,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,OPC,-0.14393939393939392,0.2944377727218859,0.4238119455845328,PN
MesWoundHealing__adaptive.immune.response,OPC,-0.09415584415584416,0.4941259960600817,0.6070082279186348,PN
MesWoundHealing__positive.regulation.of.cytokine.production,OPC,-0.10526695526695526,0.4443441742200097,0.5673478084510892,PN
MesWoundHealing__leukocyte.mediated.immunity,OPC,-0.09552669552669552,0.4878315935013453,0.6018701478263352,PN
MesWoundHealing__leukocyte.migration,OPC,-0.1336940836940837,0.3305007221298092,0.4594766136926615,PN
Proliferation__chromosome.segregation,OPC,-0.007864357864357864,0.9545572549531937,0.9716029202202149,PN
Proliferation__nuclear.chromosome.segregation,OPC,-0.025974025974025972,0.8506918335472282,0.9080418447976031,PN
Proliferation__sister.chromatid.segregation,OPC,-0.015295815295815295,0.9117450355158213,0.9376788144183017,PN
Proliferation__nuclear.division,OPC,-0.028860028860028857,0.8343240020546907,0.8972918512663655,PN
Proliferation__mRNA.processing,OPC,0.03542568542568543,0.7973563195887071,0.8706764409301975,PN
Neural__central.nervous.system.neuron.differentiation,OPC,0.11183261183261183,0.41628825268350556,0.5442300551137573,PN
Neural__regulation.of.postsynaptic.membrane.potential,OPC,0.28340548340548344,0.03601881167118414,0.08849449419213345,PN
Neural__synapse.assembly,OPC,0.4219336219336219,0.0013341749778332307,0.004874870111313727,PN
Neural__regulation.of.synapse.structure.or.activity,OPC,0.3193362193362193,0.017479915052670877,0.04884093911775686,PN
Neural__axonogenesis,OPC,0.24047619047619045,0.07697584306220483,0.15897184980237952,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,Astrocyte,0.26010101010101006,0.055135565793590566,0.1222751627759615,PN
MesWoundHealing__adaptive.immune.response,Astrocyte,0.2538961038961039,0.06141805394996067,0.13161011560705857,PN
MesWoundHealing__positive.regulation.of.cytokine.production,Astrocyte,0.30101010101010095,0.025539214166147142,0.06866675506935788,PN
MesWoundHealing__leukocyte.mediated.immunity,Astrocyte,0.2598845598845599,0.05534559999332994,0.1222751627759615,PN
MesWoundHealing__leukocyte.migration,Astrocyte,0.2790764790764791,0.03908033877986286,0.09359576934673038,PN
Proliferation__chromosome.segregation,Astrocyte,-0.46197691197691193,3.844399250591737e-4,0.0017671835264816856,PN
Proliferation__nuclear.chromosome.segregation,Astrocyte,-0.4577200577200577,4.42033229793169e-4,0.0019381456998623567,PN
Proliferation__sister.chromatid.segregation,Astrocyte,-0.4376623376623376,8.332383979467009e-4,0.0032982353252056914,PN
Proliferation__nuclear.division,Astrocyte,-0.463059163059163,3.709274395039638e-4,0.0017664368784432994,PN
Proliferation__mRNA.processing,Astrocyte,-0.5217171717171717,4.413037373252614e-5,2.967085515092745e-4,PN
Neural__central.nervous.system.neuron.differentiation,Astrocyte,-0.03881673881673882,0.7784292554770087,0.8532782223497981,PN
Neural__regulation.of.postsynaptic.membrane.potential,Astrocyte,0.15577200577200576,0.25610285833174673,0.38214300850548594,PN
Neural__synapse.assembly,Astrocyte,0.20584415584415583,0.13162743778495473,0.2359359733881264,PN
Neural__regulation.of.synapse.structure.or.activity,Astrocyte,0.15036075036075036,0.273194208121795,0.4013420067768638,PN
Neural__axonogenesis,Astrocyte,0.05707070707070707,0.6789738676201612,0.780272388192524,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,Oligodendrocyte,0.2553391053391053,0.05990794175191817,0.12934669241891425,PN
MesWoundHealing__adaptive.immune.response,Oligodendrocyte,0.2385281385281385,0.07947297728609469,0.16158560556696377,PN
MesWoundHealing__positive.regulation.of.cytokine.production,Oligodendrocyte,0.2427128427128427,0.07418580651204137,0.15546290335243965,PN
MesWoundHealing__leukocyte.mediated.immunity,Oligodendrocyte,0.27720057720057717,0.04047208881184314,0.09612121092812745,PN
MesWoundHealing__leukocyte.migration,Oligodendrocyte,0.29148629148629146,0.030834957212493463,0.08000293918428673,PN
Proliferation__chromosome.segregation,Oligodendrocyte,-0.4627705627705627,3.7448795831200105e-4,0.0017664368784432994,PN
Proliferation__nuclear.chromosome.segregation,Oligodendrocyte,-0.44206349206349205,7.274278263616804e-4,0.002961670435901127,PN
Proliferation__sister.chromatid.segregation,Oligodendrocyte,-0.42222222222222217,0.001322966656971303,0.004874870111313727,PN
Proliferation__nuclear.division,Oligodendrocyte,-0.4434343434343434,6.970395317403299e-4,0.002921415684499912,PN
Proliferation__mRNA.processing,Oligodendrocyte,-0.498989898989899,1.0543426297743298e-4,6.393354244376256e-4,PN
Neural__central.nervous.system.neuron.differentiation,Oligodendrocyte,0.1049062049062049,0.4459154705019087,0.5673478084510892,PN
Neural__regulation.of.postsynaptic.membrane.potential,Oligodendrocyte,0.11248196248196247,0.4135698363542174,0.5431677574237418,PN
Neural__synapse.assembly,Oligodendrocyte,0.17085137085137084,0.21233945056690973,0.3343466486827032,PN
Neural__regulation.of.synapse.structure.or.activity,Oligodendrocyte,0.19213564213564213,0.15992628235625095,0.274572231756214,PN
Neural__axonogenesis,Oligodendrocyte,0.13932178932178932,0.31036140006195584,0.4422649950882871,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,Neuron,-0.03997113997113997,0.7720144205198354,0.8495139376376567,PN
MesWoundHealing__adaptive.immune.response,Neuron,-0.05043290043290043,0.7146169912436202,0.8146633700177269,PN
MesWoundHealing__positive.regulation.of.cytokine.production,Neuron,-0.026190476190476188,0.8494619863144119,0.9080418447976031,PN
MesWoundHealing__leukocyte.mediated.immunity,Neuron,-0.06002886002886002,0.6633058535058955,0.7693075739421291,PN
MesWoundHealing__leukocyte.migration,Neuron,0.01645021645021645,0.9051137993843508,0.9376788144183017,PN
Proliferation__chromosome.segregation,Neuron,-0.1676046176046176,0.2212869214397439,0.3409014735693352,PN
Proliferation__nuclear.chromosome.segregation,Neuron,-0.184992784992785,0.17633216022567413,0.2967577931553295,PN
Proliferation__sister.chromatid.segregation,Neuron,-0.1642135642135642,0.23090878860323888,0.3479236866167113,PN
Proliferation__nuclear.division,Neuron,-0.19949494949494948,0.14422540816710247,0.25530584675542983,PN
Proliferation__mRNA.processing,Neuron,-0.16385281385281383,0.23194912441114088,0.3479236866167113,PN
Neural__central.nervous.system.neuron.differentiation,Neuron,0.08679653679653679,0.5286251241927675,0.6383820355717743,PN
Neural__regulation.of.postsynaptic.membrane.potential,Neuron,0.40627705627705624,0.002085624818782055,0.007076227063724829,PN
Neural__synapse.assembly,Neuron,0.41147186147186143,0.0018025250440822042,0.006264873628822295,PN
Neural__regulation.of.synapse.structure.or.activity,Neuron,0.3336219336219336,0.012805093523459234,0.03729919853304394,PN
Neural__axonogenesis,Neuron,0.26486291486291486,0.05067578109312023,0.11462379056777194,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,Radial glial,-0.032539682539682535,0.8135566015817559,0.8816107659726252,PN
MesWoundHealing__adaptive.immune.response,Radial glial,-0.11544011544011543,0.4013157987964431,0.5344626292382536,PN
MesWoundHealing__positive.regulation.of.cytokine.production,Radial glial,-0.1281385281385281,0.3511688223560566,0.4819186077746519,PN
MesWoundHealing__leukocyte.mediated.immunity,Radial glial,-0.1225108225108225,0.37289757176602056,0.5060752759681708,PN
MesWoundHealing__leukocyte.migration,Radial glial,-0.02222222222222222,0.8720627916050714,0.9129759096862734,PN
Proliferation__chromosome.segregation,Radial glial,0.5016594516594517,9.548322765317683e-5,5.915808669816391e-4,PN
Proliferation__nuclear.chromosome.segregation,Radial glial,0.5249639249639249,3.876813777617617e-5,2.762229816552552e-4,PN
Proliferation__sister.chromatid.segregation,Radial glial,0.5266233766233765,3.626567750446287e-5,2.7199258128347153e-4,PN
Proliferation__nuclear.division,Radial glial,0.48737373737373735,1.607844576122191e-4,8.645956682921216e-4,PN
Proliferation__mRNA.processing,Radial glial,0.26536796536796536,0.05022050833263185,0.11450275899840061,PN
Neural__central.nervous.system.neuron.differentiation,Radial glial,0.23369408369408368,0.0859462036441897,0.17010186137912545,PN
Neural__regulation.of.postsynaptic.membrane.potential,Radial glial,0.03405483405483405,0.8050413317267846,0.8757128990157771,PN
Neural__synapse.assembly,Radial glial,-0.1207070707070707,0.3800294583757402,0.5133099319293174,PN
Neural__regulation.of.synapse.structure.or.activity,Radial glial,-0.0010101010101010099,0.9941602991801541,0.9976608636138872,PN
Neural__axonogenesis,Radial glial,0.04696969696969697,0.733462152606567,0.8219561118386276,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,Monocytes,0.5084415584415584,7.394808838139695e-5,4.683378930821806e-4,PN
MesWoundHealing__adaptive.immune.response,Monocytes,0.5502886002886003,1.3465091895624652e-5,1.0964431972151502e-4,PN
MesWoundHealing__positive.regulation.of.cytokine.production,Monocytes,0.5642857142857143,7.226457588138211e-6,6.241031553392091e-5,PN
MesWoundHealing__leukocyte.mediated.immunity,Monocytes,0.5544011544011543,1.124760052017861e-5,9.428135730149717e-5,PN
MesWoundHealing__leukocyte.migration,Monocytes,0.5339826839826839,2.6861810953493206e-5,2.1265600338182122e-4,PN
Proliferation__chromosome.segregation,Monocytes,-0.1965367965367965,0.15039251376554602,0.262417429496668,PN
Proliferation__nuclear.chromosome.segregation,Monocytes,-0.20772005772005772,0.1280687613287693,0.23248150941846654,PN
Proliferation__sister.chromatid.segregation,Monocytes,-0.21464646464646464,0.11555638939307487,0.21784521586790273,PN
Proliferation__nuclear.division,Monocytes,-0.2481240981240981,0.0677672600553795,0.14413185907300866,PN
Proliferation__mRNA.processing,Monocytes,-0.26709956709956706,0.04868478896634605,0.11189649076942439,PN
Neural__central.nervous.system.neuron.differentiation,Monocytes,0.047113997113997115,0.7326737247190738,0.8219561118386276,PN
Neural__regulation.of.postsynaptic.membrane.potential,Monocytes,0.18441558441558442,0.17770920324809486,0.2967577931553295,PN
Neural__synapse.assembly,Monocytes,0.09891774891774892,0.4724435790085355,0.5879756332638979,PN
Neural__regulation.of.synapse.structure.or.activity,Monocytes,0.1375180375180375,0.31672874957007074,0.4490930031217421,PN
Neural__axonogenesis,Monocytes,0.08823953823953823,0.5217679619104856,0.63278242189144,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,TAM,0.7331890331890332,1.9489360673130228e-10,6.2097287801209675e-9,PN
MesWoundHealing__adaptive.immune.response,TAM,0.7751803751803751,3.730638554237699e-12,3.544106626525814e-10,PN
MesWoundHealing__positive.regulation.of.cytokine.production,TAM,0.7602453102453102,1.6700343242142224e-11,9.519195648021067e-10,PN
MesWoundHealing__leukocyte.mediated.immunity,TAM,0.7829725829725829,1.6297608285752111e-12,3.544106626525814e-10,PN
MesWoundHealing__leukocyte.migration,TAM,0.7457431457431457,6.475492067092097e-11,2.636450341601782e-9,PN
Proliferation__chromosome.segregation,TAM,-0.4272005772005772,0.0011424524414120397,0.004428344502614193,PN
Proliferation__nuclear.chromosome.segregation,TAM,-0.4238816738816738,0.0012601406438634568,0.004788534446681135,PN
Proliferation__sister.chromatid.segregation,TAM,-0.41176046176046177,0.0017878543805249344,0.006264873628822295,PN
Proliferation__nuclear.division,TAM,-0.4525974025974026,5.21646315546986e-4,0.0022525636353165302,PN
Proliferation__mRNA.processing,TAM,-0.46767676767676764,3.179850016541779e-4,0.0015899250082708895,PN
Neural__central.nervous.system.neuron.differentiation,TAM,0.02178932178932179,0.8745348187521145,0.9129759096862734,PN
Neural__regulation.of.postsynaptic.membrane.potential,TAM,0.06998556998556997,0.6116436066428907,0.7173597855688225,PN
Neural__synapse.assembly,TAM,-0.0038239538239538237,0.9778951169659773,0.9882982565081686,PN
Neural__regulation.of.synapse.structure.or.activity,TAM,0.06176046176046175,0.6541997428895117,0.7641267488668476,PN
Neural__axonogenesis,TAM,0.01479076479076479,0.9146481066957468,0.9376788144183017,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,Microglia,0.7143578643578643,9.110326758477656e-10,1.9972639432047168e-8,PN
MesWoundHealing__adaptive.immune.response,Microglia,0.7699855699855699,6.36370153449692e-12,4.5341373433290554e-10,PN
MesWoundHealing__positive.regulation.of.cytokine.production,Microglia,0.7567099567099567,2.344000586112587e-11,1.1134002784034789e-9,PN
MesWoundHealing__leukocyte.mediated.immunity,Microglia,0.7773448773448772,2.973892188007774e-12,3.544106626525814e-10,PN
MesWoundHealing__leukocyte.migration,Microglia,0.7285714285714285,2.878322419648653e-10,7.457471723635147e-9,PN
Proliferation__chromosome.segregation,Microglia,-0.42698412698412697,0.0011498157655910537,0.004428344502614193,PN
Proliferation__nuclear.chromosome.segregation,Microglia,-0.4196969696969697,0.0014239646977466508,0.005137087833642981,PN
Proliferation__sister.chromatid.segregation,Microglia,-0.4126984126984127,0.0017409079748405428,0.006201984660369433,PN
Proliferation__nuclear.division,Microglia,-0.4493506493506493,5.7860485962004e-4,0.0024612296267419614,PN
Proliferation__mRNA.processing,Microglia,-0.4624819624819625,3.78079472228215e-4,0.0017664368784432994,PN
Neural__central.nervous.system.neuron.differentiation,Microglia,0.07445887445887445,0.5890113500881955,0.6936703916327922,PN
Neural__regulation.of.postsynaptic.membrane.potential,Microglia,0.10266955266955266,0.45572582977360054,0.5751000425114325,PN
Neural__synapse.assembly,Microglia,0.025180375180375178,0.8552042711686998,0.9094523032950725,PN
Neural__regulation.of.synapse.structure.or.activity,Microglia,0.10649350649350649,0.43902479052849697,0.5661631914055278,PN
Neural__axonogenesis,Microglia,0.05937950937950937,0.6667332307498453,0.7693075739421291,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,DC,0.6628427128427128,3.522848177732517e-8,3.861583579437566e-7,PN
MesWoundHealing__adaptive.immune.response,DC,0.7331168831168831,1.960966983196095e-10,6.2097287801209675e-9,PN
MesWoundHealing__positive.regulation.of.cytokine.production,DC,0.7188311688311688,6.38751062081012e-10,1.5170337724424036e-8,PN
MesWoundHealing__leukocyte.mediated.immunity,DC,0.7305916305916305,2.429278595318002e-10,6.9234439966563055e-9,PN
MesWoundHealing__leukocyte.migration,DC,0.6673881673881674,2.626333467663834e-8,3.394860731610419e-7,PN
Proliferation__chromosome.segregation,DC,-0.38939393939393935,0.0032987598407959954,0.010931936681707659,PN
Proliferation__nuclear.chromosome.segregation,DC,-0.3662337662337662,0.0059608122287616375,0.01826700521717276,PN
Proliferation__sister.chromatid.segregation,DC,-0.35873015873015873,0.0071566594183875435,0.02146997825516263,PN
Proliferation__nuclear.division,DC,-0.39776334776334776,0.002635877047314692,0.008837940688055145,PN
Proliferation__mRNA.processing,DC,-0.42251082251082245,0.0013118427820642264,0.004874870111313727,PN
Neural__central.nervous.system.neuron.differentiation,DC,0.0997113997113997,0.4688800171652485,0.5861000214565606,PN
Neural__regulation.of.postsynaptic.membrane.potential,DC,0.0886002886002886,0.5200606431113464,0.63278242189144,PN
Neural__synapse.assembly,DC,0.01911976911976912,0.8898044022773943,0.9255264768213773,PN
Neural__regulation.of.synapse.structure.or.activity,DC,0.1168109668109668,0.3957096846399264,0.5294707047999015,PN
Neural__axonogenesis,DC,0.050577200577200575,0.7138353421981443,0.8146633700177269,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,Mast cells,0.5225829725829725,4.2637360952124376e-5,2.9638165539891333e-4,PN
MesWoundHealing__adaptive.immune.response,Mast cells,0.48831168831168825,1.554852055683255e-4,8.521785305187072e-4,PN
MesWoundHealing__positive.regulation.of.cytokine.production,Mast cells,0.496031746031746,1.175647379816093e-4,6.980406317658052e-4,PN
MesWoundHealing__leukocyte.mediated.immunity,Mast cells,0.4893939393939394,1.4956931130833762e-4,8.423469169562723e-4,PN
MesWoundHealing__leukocyte.migration,Mast cells,0.5669552669552669,6.396884098046098e-6,5.6972248998223064e-5,PN
Proliferation__chromosome.segregation,Mast cells,-0.21428571428571427,0.11618411512954813,0.21784521586790273,PN
Proliferation__nuclear.chromosome.segregation,Mast cells,-0.1712121212121212,0.21136119151802488,0.3343466486827032,PN
Proliferation__sister.chromatid.segregation,Mast cells,-0.16839826839826838,0.2190759096788672,0.33932953401346283,PN
Proliferation__nuclear.division,Mast cells,-0.19992784992784993,0.1433389364614971,0.25530584675542983,PN
Proliferation__mRNA.processing,Mast cells,-0.36666666666666664,0.0058975025377062725,0.01826700521717276,PN
Neural__central.nervous.system.neuron.differentiation,Mast cells,-0.08109668109668108,0.5561392050105285,0.6631785499079523,PN
Neural__regulation.of.postsynaptic.membrane.potential,Mast cells,-0.049711399711399706,0.718529585440643,0.8158602862573039,PN
Neural__synapse.assembly,Mast cells,-0.22142857142857142,0.1042311746182483,0.20071543760946461,PN
Neural__regulation.of.synapse.structure.or.activity,Mast cells,-0.11998556998556999,0.38290486054276796,0.5147541757296644,PN
Neural__axonogenesis,Mast cells,-0.17691197691197688,0.1963231642859506,0.31820999768852876,PN
MesWoundHealing__cytokine.mediated.signaling.pathway,T cells,0.6804473304473304,1.097385488496801e-8,1.4893088772456584e-7,PN
MesWoundHealing__adaptive.immune.response,T cells,0.7111832611832611,1.1673770132032485e-9,2.255559034607893e-8,PN
MesWoundHealing__positive.regulation.of.cytokine.production,T cells,0.6945887445887445,4.051142221771782e-9,5.772877666024789e-8,PN
MesWoundHealing__leukocyte.mediated.immunity,T cells,0.7093795093795093,1.3420089810976753e-9,2.3904534975802342e-8,PN
MesWoundHealing__leukocyte.migration,T cells,0.6441558441558441,1.1197424630974547e-7,1.139737864224195e-6,PN
Proliferation__chromosome.segregation,T cells,-0.24754689754689754,0.06843000490185257,0.14446334368168876,PN
Proliferation__nuclear.chromosome.segregation,T cells,-0.23124098124098125,0.08938572495312994,0.17448583295645229,PN
Proliferation__sister.chromatid.segregation,T cells,-0.21363636363636362,0.11732057561403703,0.2185383271241866,PN
Proliferation__nuclear.division,T cells,-0.26890331890331887,0.04712602746003755,0.1091944538708187,PN
Proliferation__mRNA.processing,T cells,-0.2901154401154401,0.031667729859589,0.08130903612597176,PN
Neural__central.nervous.system.neuron.differentiation,T cells,0.024242424242424242,0.8605430771925714,0.9100863248138271,PN
Neural__regulation.of.postsynaptic.membrane.potential,T cells,-0.0013708513708513709,0.9920747496056478,0.9976608636138872,PN
Neural__synapse.assembly,T cells,-0.07662337662337662,0.5781968314677368,0.6866087373679375,PN
Neural__regulation.of.synapse.structure.or.activity,T cells,0.02395382395382395,0.8621870445604678,0.9100863248138271,PN
Neural__axonogenesis,T cells,-0.04105339105339105,0.7660142209964292,0.8461784999379159,PN
